migration_priority,group_section,owner,source_site,url,target_url,h1,title,meta_description,text_length,rewrite_need
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace,https://vitar-group.cz/b2b,Pro partnery,"Pro partnery | VITAR, s.r.o.","Chcete spolupracovat s VITARem, tradičním českým výrobcem vitaminových doplňků? Kontaktujte členy našich týmů pro lékárny, obchodní řetězce a drogerie, export, smluvní výrobu nebo pro prodej vitaminů do firem.",4307,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/export,https://vitar-group.cz/b2b/export,,"Export | VITAR, s.r.o.","Doplňky stravy od VITARu jsou dostupné v téměř 40 zemích světa. Pokud máte i vy zájem s námi spolupracovat, náš exportní tým je vám k dispozici!",3617,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/lekarny,https://vitar-group.cz/b2b/farmacie,,"Lékárny | VITAR, s.r.o.","Máme odborný tým zaměřený na lékárenské velkoobchody, lékárny a prodejny se zdravou výživou, kam dodáváme naše doplňky stravy. Kontaktujte nás!",2680,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/prodej-do-firem,https://vitar-group.cz/b2b/prodej-do-firem,,"Prodej do firem | VITAR, s.r.o.",Chcete benefit pro zaměstnance v podobě vitaminových balíčků? Nabízíme plnění zdravotně-preventivních programů kvalitními vitaminy a dalšími doplňky stravy. Kontaktujte nás!,2634,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/retail,https://vitar-group.cz/b2b/retail,,"Retail | VITAR, s.r.o.","Máte-li zájem o doplňky stravy od tradičního českého výrobce vitaminových doplňků, kontaktujte nás! Naši specialisté jsou vám k dispozici.",3363,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,B2B / OEM / partneři,B2B/OEM export + Central marketing,vitar.cz,https://www.vitar.cz/o-nas/spoluprace/smluvni-vyroba-a-privatni-znacky,https://vitar-group.cz/b2b/smluvni-vyroba,,"Smluvní výroba a privátní značky | VITAR, s.r.o.","VITAR je tradiční český výrobce vitaminových doplňků, který nabízí spolupráci i v oblasti smluvní výroby a výroby doplňků stravy pod privátní značkou. Kontaktujte nás!",2669,"Rewrite into lead-gen pages with clear forms, proof points and production capabilities."
P0,Homepage / positioning,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/,https://vitar-group.cz/,VITAR : Tradiční český výrobce vitaminových doplňků,"VITAR, s.r.o.: Vitaminy, minerální látky, doplňky stravy",Jsme tradiční český výrobce vitaminových doplňků s historií od roku 1990. Pomáháme lidem vést zdravější život prostřednictvím kvalitních doplňků stravy i řadou projektů.,6377,"Rewrite strongly for new VITAR GROUP positioning, SBU model and trust proof."
P0,Homepage / positioning,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/homepage/,https://vitar-group.cz/,VITAR : Tradiční český výrobce vitaminových doplňků,"VITAR, s.r.o.: Vitaminy, minerální látky, doplňky stravy",Jsme tradiční český výrobce vitaminových doplňků s historií od roku 1990. Pomáháme lidem vést zdravější život prostřednictvím kvalitních doplňků stravy i řadou projektů.,6377,"Rewrite strongly for new VITAR GROUP positioning, SBU model and trust proof."
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/dcerine-spolecnosti,https://vitar-group.cz/o-skupine/dcerine-spolecnosti,Skupina společností VITAR,"Skupina společností VITAR | VITAR, s.r.o.","Seznamte se s dceřinými společnostmi VITARu, tradičního českého výrobce vitaminových doplňků. Mezi naše dceřinky patří VITAR Slovakia, VITAR Sport, VITAR Veterinae.",3782,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/historie,https://vitar-group.cz/o-skupine/historie,,"Historie | VITAR, s.r.o.",Seznamte se s historií VITARu - tradičního českého výrobce vitaminových doplňků. Na trhu působíme už od roku 1990 a jsme jedničkou v oblasti doplňků stravy v obchodních řetězcích a drogeriích.,2489,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/kde-koupite,https://vitar-group.cz/o-skupine/kde-koupite,Kde koupíte,"Kde koupíte | VITAR, s.r.o.",Kde všude koupíte doplňky stravy od VITARu - tradičního českého výrobce vitamínových doplňků?,3418,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/kdo-jsme,https://vitar-group.cz/o-skupine/kdo-jsme,Kdo jsme,"Kdo jsme | VITAR, s.r.o.","Jsme tradiční česká rodinná firma založená roku 1990, největší výrobce a dodavatel doplňků stravy do obchodních řetězců v České republice a na Slovensku.",2518,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/o-nas/o-spolecnosti/management,https://vitar-group.cz/o-skupine/management,Management,"Management | VITAR, s.r.o.","Seznamte se s managementem naší rodinné firmy, tradičního českého výrobce vitaminových doplňků s historií od roku 1990.",3706,Light rewrite and design/content QA before migration.
P0,O skupině,Central marketing / VITAR GROUP,vitar.cz,https://www.vitar.cz/novinky/maxivita/,https://vitar-group.cz/o-skupine/maxivita,MaxiVita,"MaxiVita | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2218,Light rewrite and design/content QA before migration.
