source_site,family,action,destination,h1,title,meta_description,text_length,url
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty,Produkty,"Produkty | VITAR, s.r.o.","Dnešní běžná strava často nenabízí dostatečné množství životně důležitých látek typu vitaminů či minerálních látek, a to z důvody skladby jídelníčku i kvality některých konzumovaných potravin. Doplňky stravy nabízejí řešení v podobě jasně definovaného zdroje a množství daných látek prospěšných pro lidský organizmus. VITAR ručí za kvalitu produktů, které vznikají v České republice ve vlastním výrobním závodě a na jejichž vývoji se podílí vlastní vývojové oddělení společnosti.",3827,https://www.vitar.cz/produkty/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky,Značky,"Značky | VITAR, s.r.o.","Společnost VITAR, tradiční český výrobce vitaminových doplňků, vyrábí ve svém tišnovském závodě celou řadu produktů pro zdravější život. Nedaleko Brna tak vznikají vitaminy, minerální látky a další výrobky značek Maxi Vita, Revital, Energit, Vyprošťovák, Revitalon, Irbis, OvoCé nebo eMVe. VITAR je také distributorem špičkových repelentů Predator a pod mezinárodní licencí vyrábí oblíbená pitíčka Capri-Sun. Dceřiná společnost VITAR Veterinae nabízí veterinární přípravky pro domácí mazlíčky a VITAR Sport je distributorem sportovní výživy Enervit a kompresních sportovních doplňků ROYAL BAY..",7369,https://www.vitar.cz/znacky/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/maxivita,Maxi Vita - Oblíbené vitaminy z vašeho obchodu,"Maxi Vita - Oblíbené vitaminy z vašeho obchodu | VITAR, s.r.o.","Maxi Vita je česká značka široce dostupných vitaminových doplňků a jedničkou na trhu ve světě doplňků stravy nabízených v obchodních řetězcích a drogeriích. Maxi Vita představuje kvalitní a zároveň cenově dostupný sortiment vitaminů, minerálních látek a dalších výživových doplňků, čímž umožňuje dodat do jídelníčku maximum životně důležitých látek, které v běžné stravě v potřebném množství často chybí. Pod značkou Maxi Vita najdete vitaminové doplňky ve formě šumivých tablet, polykacích tablet a kapslí, bylinných elixírů, sypkých směsí včetně moderních a uživatelsky příjemných jednorázových sáčků (tzv. stick pack), instantních horkých nápojů i želé. Vitaminové doplňky Maxi Vita jsou přehledně uspořádány do jednotlivých řad – Vaše zdraví, Herbal, Premium, Exclusive a Kids. Maxi Vita je jednou z nejvýznamnějších značek společnosti VITAR.",4173,https://www.vitar.cz/znacky/maxivita/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/revital,Revital - Tradiční značka vitaminů z lékárny,"Revital - Tradiční značka vitaminů z lékárny | VITAR, s.r.o.","Revital je tradiční česká značka kvalitních šumivých vitaminových doplňků úspěšných na náročném lékárenském trhu. Revital nabízí široké portfolio vitaminů, minerálních látek a dalších doplňků stravy ve vysoké kvalitě, čímž pomáhá doplnit jídelníček o životně nezbytné látky, které v běžné stravě v potřebném množství často chybí. Revital nabízí skvělou chuť, komplexní složení, silnou dávku účinných látek, jednotný moderní design a oblíbenou formu šumivých tablet. Právě s těmito doplňky VITAR v roce 1990 začínal a za sebou tak má již více než 35 let zkušeností v této oblasti. Revital pomůže všem, kteří dbají o sebe, svůj vzhled i správnou výživu své rodiny a žádají kvalitní doplňky stravy. Šumivé tablety sloužící k přípravě nápojů vynikají vysokým obsahem vitaminů, minerálních látek či rostlinných extraktů. Revital je vůbec nejstarší ze značek společnosti VITAR.",3980,https://www.vitar.cz/znacky/revital/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/revitalon,Revitalon - Komplexní program pro krásné a silné vlasy,"Revitalon - Komplexní program pro krásné a silné vlasy | VITAR, s.r.o.","Revitalon představuje komplexní program pro krásné a silné vlasy čítající doplněk stravy ve formě kapslí a vlasovou kosmetiku (šampon, vlasové sérum). Revitalon Forte díky obsahu účinných látek vyživuje vlasy zevnitř přímo od kořínků a tím přispívá k jejich přirozenému růstu, zlepšení vzhledu, struktury i síly vlasů. Vlasové sérum omezuje vypadávání vlasů a podporuje jejich růst, na krásném vzhledu vlasů se podílí také aktivační šampon. Díky komplexnímu programu produktů značky Revitalon budete mít krásné a silné vlasy od kořínků. Součástí řady je také kolagenový nápoj pro péči o pleť. Revitalon je jednou z tradičních značek české společnosti VITAR.",3176,https://www.vitar.cz/znacky/revitalon/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/irbis,Irbis - Redukuje cukr ve vašem jídelníčku,"Irbis - Redukuje cukr ve vašem jídelníčku | VITAR, s.r.o.","Produkty pod značkou Irbis jsou moderní stolní sladidla nabízející řešení všem, kteří hledají cestu k redukci cukru v jídelníčku. Jedná se totiž o řadu sladidel nové generace vhodných pro redukční dietu nebo osoby omezující cukr ve své stravě. Bonusem těchto sladidel je, že zásadně nezvyšují energetickou hodnotu oslazených jídel a nápojů a jsou vysoce sladivé v malém množství – při nižším energetickém příjmu se tak nemusíte vzdávat uspokojení chuti na sladké. Irbis nabízí sladidla na bázi steviolglykosidů, sukralózy a aspartamu v různých formách – tabletách, nebo sypké směsi. Sladidla Irbis vyrábí a dodává společnost VITAR.",3182,https://www.vitar.cz/znacky/irbis/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/energit,Energit - Legendární vitaminové a energetické tablety,"Energit - Legendární vitaminové a energetické tablety | VITAR, s.r.o.","Energit je tradiční značka vitaminových a energetických tablet v legendárních plechových krabičkách. Snadno rozpustné osvěžující tablety s lahodnou ovocnou chutí jsou na trhu už přes 30 let a dnes nabízejí inovovanou recepturu bez obsahu cukru v devíti řadách – energetické tablety Pro řidiče, vitaminové tablety vhodné při únavě očí (Pro oči), tablety s obsahem vitaminů či minerálních látek (Multivitamin, Imunita, Magnézium, Vitamin D3) nebo Energit Pro děti, Coffee a Zázvor. Pod značkou Energit jsou vyráběny i čtyři příchutě hroznového cukru obohaceného o vitaminy. Energit vám tak dokáže dodat energii, potřebné vitaminy a minerální látky. Energit je tradiční značka produktů vyráběných společností VITAR.",3531,https://www.vitar.cz/znacky/energit/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/predator,Predator - Nedá šanci dotěrnému hmyzu,"Predator - Nedá šanci dotěrnému hmyzu | VITAR, s.r.o.","Značka Predator se řadí ke špičce moderních ochranných prostředků proti dotěrnému a nebezpečnému lezoucímu i létajícímu hmyzu, jako jsou například komáři, klíšťata, vši, moli nebo mouchy, a nabízí tak účinnou ochranu i před případnou nákazou, kterou tento hmyz šíří. Predator Parazit pomůže i při výskytu vší a hnid ve vlasech. Predator je jedničkou mezi repelenty v českých lékárnách a všechny výrobky této značky jsou podrobeny náročnému testování a schvalování státními kontrolními orgány. Výhradním distributorem produktů značky Predator je česká společnost VITAR.",3557,https://www.vitar.cz/znacky/predator/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/capri-sun,Capri-Sun - Svěží chuť zábavy,"Capri-Sun - Svěží chuť zábavy | VITAR, s.r.o.","Tato oblíbená dětská pitíčka, která nabízejí osvěžení a zábavu, jsou v České republice vyráběna pod mezinárodní licencí společností VITAR. Capri-Sun se postará o pitný režim nejen dětí, ale i dospělých, a to bez chemických konzervantů, syntetických barviv a umělých aromat. Naopak nechybí výborná chuť a ovocná složka. Originální obal v podobě známého sáčku je opatřený termo fólií, díky které si obsah udrží déle svoji teplotu a pitíčka nabízí vždy příjemné osvěžení. Na výběr je z mnoha příchutí a dvou balení – 0,2 litru s brčkem a 0,33 litru s uzávěrem.",3346,https://www.vitar.cz/znacky/capri-sun/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/vyprostovak,Vyprošťovák - Postaví vás na nohy,"Vyprošťovák - Postaví vás na nohy | VITAR, s.r.o.","Po nadměrné konzumaci těžce stravitelného jídla, alkoholu nebo kávy může dojít ke zvýšené produkci žaludečních kyselin. To se často projeví pocitem plnosti, žaludeční nevolností nebo pálením žáhy, což nás často dokáže vyřadit na dlouhé hodiny z provozu. Vyprošťovák obsahuje kombinaci jedlé sody a kyseliny vinné, která má schopnost neutralizovat žaludeční kyseliny, proto se doporučuje užívat právě při zmíněných problémech se zažíváním. Vyprošťovák Forte obohacený o důležité vitaminy a minerály navíc dodá organizmu potřebnou energii a pozitivně ovlivňuje jeho obranyschopnost. Ať už sáhnete po balení v tubě nebo sáčku, Vyprošťovák vás zaručeně postaví na nohy.",2954,https://www.vitar.cz/znacky/vyprostovak/
